,en,vi
4420,"lying in bed, seeing the neighbor sneak in from the balcony, i immediately planned to turn my wife's face.","nằm trên giường thấy anh_chàng hàng_xóm lẻn vào từ lối ban_công , tôi lập_tức lên kế_hoạch lật_mặt vợ ."
4421,prime minister nguyen xuan phuc visited and worked in yen bai.,thủ_tướng nguyễn xuân_phúc thăm và làm_việc tại yên_bái .
4422,trang cat dong leaves in season.,lá_dong tràng_cát vào mùa .
4423,"for the first time, there is a clean food market serving tet.",lần đầu_tiên có chợ thực_phẩm sạch phục_vụ tết .
4424,invest in school facilities.,đầu_tư cơ_sở_vật_chất trường_lớp .
4425,'cry buffalo' - a folk song full of humanity of the m'nong people.,' khóc trâu ' - bài dân_ca mang đầy tính nhân_văn của dân_tộc m'nông .
4426,"u23 vietnam exchange tickets have a fever, people scream 'heavenly' prices.","vé giao_lưu u23 việt nam lên cơn sốt , dân phe thét giá ' trên trời ' ."
4427,quang nam: reduce sentences for 16 inmates ahead of lunar new year 2018.,quảng nam : giảm án cho 16 phạm_nhân trước thềm tết_nguyên_đán 2018 .
4428,"having just debuted as a singer, chi pu got caught up in this series of bad scandals.",mới debut làm ca sỹ vậy mà chi pu đã vướng phải loạt ' phốt ' không hay này .
4429,usa: plane crash victims arecommended $100 milliong,mỹ : nạn_nhân tai_nạn máy_bay ' được đền_bù 100 triệu usd ' .
4430,the old tube house in hanoi is surprisingly beautiful after renovation.,nhà ống cũ ở hà nội đẹp ngỡ_ngàng sau cải_tạo .
4431,"planting guava four quarters, tet 'fire gardeng, collects hundreds of millions/year.","trồng ổi tứ_quý , tết ' cháy vườn ' , thu cả trăm triệu / năm ."
4432,why do men and women like different colors?,"tại_sao nam , nữ thích màu_sắc khác nhau ? ."
4433,preserving the custom of giving tet gifts.,giữ_gìn phong_tục tặng quà tết .
4434,bizarre: how the british divided 'genders' on tanks.,kỳ_dị : cách người anh phân_chia ' giới_tính ' cho xe_tăng .
4435,the price of honda cr-v increased by nearly 200 million and there are still no cars for sale.,giá honda cr-v tăng gần 200_triệu vẫn không còn xe để bán .
4436,memorizing machines cannot do well on the history test.,ghi_nhớ máy_móc không_thể làm tốt bài thi lịch_sử .
4437,"3 zodiac animals avoid leaving on the 1st day of the year of the dog, lest they bring bad luck into the house.",3 con giáp tránh xuất_hành ngày mùng 1 năm mậu tuất kẻo rước vận xui vào nhà .
4438,"in order for cancer to be no longer a fear, it is imperative to know this important thing.","để ung_thư không còn là nỗi sợ_hãi , nhất_định phải biết điều quan_trọng này ."
4439,bach tra: i understood what it is to be passionate about the profession when i studied singer anh tho.,bạch trà : tôi hiểu thế_nào là đam_mê với nghề khi được học ca_sĩ anh thơ .
4440,need local initiative.,cần sự chủ_động của địa_phương .
4441,bach tra - thanh tai launches 'hometown boat trip' to welcome tet.,bạch trà - thanh tài ra_mắt ' chuyến đò quê_hương ' đón tết .
4442,lawyer 'complains' about inadequacy in collection - road expenses.,luật_sư ' phàn_nàn ' về bất_cập trong thu - chi_phí đường_bộ .
4443,thailand creates favorable conditions for vietnamese goods to penetrate the market.,thái lan tạo điều_kiện cho hàng_hóa việt nam thâm_nhập thị_trường .
4444,"the doctor warned that the malformed pregnancy should be aborted, the couple firmly refused and the ending was unexpected.","bác_sĩ cảnh_báo thai dị_tật nên bỏ , cặp_đôi nhất_quyết từ_chối và cái kết bất_ngờ ."
4445,thailand is ready to facilitate vietnamese goods to thailand.,thái lan sẵn_sàng tạo điều_kiện cho hàng_hóa việt nam sang đất thái .
4446,how are vietnam u-23 players divided?,các tuyển_thủ u-23 việt nam chia thưởng ra_sao ? .
4447,thai prime minister congratulated vietnam u23 football team.,thủ_tướng thái-lan chúc_mừng đội_tuyển bóng_đá u23 việt nam .
4448,"fired 10,000 employees, business plummeted, vinasun is still working hard to sue rivals.","sa_thải 10.000 nhân_viên , kinh_doanh lao dốc , vinasun vẫn miệt_mài kiện đối_thủ ."
4449,"wb: the world is richer, but inequality persists.",wb : thế_giới giàu_có hơn nhưng bất_bình_đẳng vẫn tồn_tại .
4450,"after all, when your husband has an affair, do not get jealous, do these things to keep happy.","sau tất_cả , khi chồng ngoại_tình , đừng đánh_ghen hãy làm những điều này để giữ hạnh_phúc ."
4451,what is outstanding about mazda cx-9 priced at 2.15 billion?,"mazda cx-9 giá 2,15 tỷ đồng có gì nổi_bật ? ."
4452,a series of creative ideas with super quality wall cabinets to make the house more neat.,loạt ý_tưởng sáng_tạo với tủ đồ gắn tường siêu chất cho nhà thêm gọn_gàng .
4453,the young man murdered his neighbor because he was constantly asked 'when to get married'.,thanh_niên sát_hại hàng_xóm vì liên_tục bị hỏi ' khi nào lấy vợ ' .
4454,a young man murdered his neighbor because he was asked when he would get married.,nam thanh_niên sát_hại hàng_xóm vì bị hỏi khi nào cưới vợ .
4455,indonesia: murder for being asked when to get married.,indonesia : giết người vì bị hỏi bao_giờ cưới vợ .
4456,indonesia: killed a neighbor because he was constantly asked when he would get married.,indonesia : sát_hại hàng_xóm vì liên_tục bị hỏi bao_giờ lấy vợ .
4457,"a pregnant woman was strangled to death by a neighbor because every time she met, she asked 'when to get married'.",thai_phụ bị hàng_xóm bóp_cổ chết vì lần nào gặp cũng hỏi ' bao_giờ lập gia_đình ' .
4458,indonesian youth murdered his neighbor because he was asked when he would get married.,thanh_niên indonesia sát_hại hàng_xóm vì bị hỏi bao_giờ lấy vợ .
4459,a beauty inspiration.,một cảm_hứng nhan_sắc .
4460,"constantly being asked when he would get married, the mad young man killed the neighbor's pregnant woman.","liên_tục bị hỏi bao_giờ lấy vợ , gã thanh_niên nổi_điên sát_hại thai_phụ hàng_xóm ."
4461,"all day long asking 'when to get married', the woman received the ending could not be more bitter.","suốt ngày hỏi ' bao_giờ cưới vợ ' , người phụ_nữ nhận cái kết không_thể đắng hơn ."
4462,trading in violent toys can be fined up to 100 million vnd.,kinh_doanh đồ_chơi bạo_lực có_thể bị phạt tới 100 triệu đồng .
4463,"on the wedding night, my husband told me 'not much lose to a prostitute'.","đêm tân_hôn , chồng bảo tôi ' không thua gái làng_chơi là mấy ' ."
4464,the southwest steering committee summarizes 15 years of operation before dissolving.,ban chỉ_đạo tây nam_bộ tổng_kết 15 năm hoạt_động trước khi giải_thể .
4465,"shocked when her mother-in-law pointed her finger at her, complaining about the unhappiness just because of the bowl of dipping sauce.","sững người khi bị mẹ chồng chỉ tay , than nhà vô_phúc chỉ vì bát nước_chấm ."
4466,the southwest steering committee summarizes 15 years of operation.,ban chỉ_đạo tây nam_bộ tổng_kết 15 năm hoạt_động .
4467,pregnant woman lost her life because of a neighbor's question: when will you get married?,bà bầu mất_mạng vì lời hỏi_thăm người hàng_xóm : bao_giờ cưới vợ ? .
4468,floating park made from... plastic waste.,công_viên nổi làm từ ... rác_thải nhựa .
4469,social media transforms travel.,truyền_thông xã_hội biến_đổi du_lịch .
4470,close-up of lions and dragons all over the country converged on tay do land.,cận_cảnh lân sư rồng cả nước hội_tụ trên đất tây_đô .
4471,"tran thanh suddenly ""killed"" truong the vinh on television.",trấn thành bất_ngờ ' giết chết ' trương thế vinh trên sóng truyền_hình .
4472,ornamental flower market on tet holiday.,thị_trường hoa kiểng ngày tết .
4473,quynh huong cried because tran thanh was wanted.,quỳnh hương khóc ngất vì trấn thành bị truy_nã .
4474,"in the rice seed production chain, without worrying about consumption, profits increased by 20%.","vào chuỗi sản_xuất lúa giống , khỏi lo tiêu_thụ , lợi_nhuận tăng 20 % ."
4475,can tho city organizes fireworks at 6 locations during the tet holiday.,tp . cần_thơ tổ_chức bắn pháo_hoa tại 6 điểm trong dịp tết mậu tuất .
4476,thank god: meritorious artist quynh huong went crazy because tran thanh was wanted.,ơn giời : nsưt quỳnh hương hóa điên vì trấn thành bị truy_nã .
4477,"the price of tet flowers will increase because of ""god"".",giá hoa tết sẽ tăng vì ' ông trời ' .
4478,"the wife is young, why does the husband like to 'handle himself'?.","vợ hơ_hớ thanh_xuân , sao chồng lại thích ' tự_xử ' ? ."
4479,detecting and seizing thousands of fake wine bottles and tea packages.,"phát_hiện , thu_giữ hàng ngàn chai rượu , gói trà giả ."
4480,many famous tea brands are counterfeited by a business in can tho.,nhiều thương_hiệu trà nổi_tiếng bị một doanh_nghiệp ở cần_thơ làm giả .
4481,the pregnant woman lost her life because she kept asking her neighbors when she would get married.,bà bầu mất_mạng vì liên_tục hỏi hàng_xóm bao_giờ cưới vợ .
4482,checking karaoke bar discovered 16 drug users.,kiểm_tra quán karaoke phát_hiện 16 đối_tượng sử_dụng ma_túy .
4483,dan hauer appeared in the american newspaper: 'teacher insults the vietnamese national hero'.,dan hauer xuất_hiện trên báo mỹ : ' thầy_giáo xúc_phạm đến anh_hùng dân_tộc việt nam ' .
4484,8 male and female couples high in drugs in a karaoke bar at dawn.,8 cặp nam_nữ phê ma_túy trong quán karaoke lúc rạng sáng .
4485,delightfully watching the '6 in 1' confetti garden celebrate tet on tay do land.,mãn nhãn ngắm vườn hoa giấy ' 6 trong 1_' chưng tết trên đất tây_đô .
4486,from the daniel case: non-standard teachers set a bad example for students.,nhìn từ vụ daniel : giáo_viên không chuẩn_mực là tấm_gương xấu cho học_sinh .
4487,"drunk, the driver lost control, causing the wouldriver' to climb the divider, knocking down trees.","say rượu , tài_xế mất lái khiến ' xế hộp ' leo dải_phân_cách , húc đổ cây_xanh ."
4488,cambodia wants to make a law banning defamation of the royal family.,campuchia muốn ra luật cấm nói_xấu hoàng_gia .
4489,"out of salbutamol: hospitals are struggling, people are confused.","hết thuốc salbutamol : bệnh_viện loay_hoay , người dân rối_bời ."
4490,close-up of the 84m2 apartment that the owner volunteered to open to welcome the homeless during tet 2018.,cận_cảnh căn_hộ 84 m2 được chủ nhà tình_nguyện mở_cửa đón người vô_gia_cư dịp tết 2018 .
4491,the mentally ill son picks up the bottle to feed his mother.,người con tâm_thần nhặt ve_chai nuôi mẹ .
4492,"this new year, about 'king' to eat fish.","tết này , về '_kinh_' ăn_cá ."
4493,the us newspaper reported that daniel hauer insulted general vo nguyen giap.,báo mỹ đưa tin vụ_việc daniel hauer xúc_phạm đại_tướng võ nguyên giáp .
4494,in need of a humane apology.,cần lắm một lời xin_lỗi nhân_văn .
4495,tay do people are excited about the final match of u.23 vietnam.,dân tây_đô tất_bật hào_hứng trước trận chung_kết của u ._23 việt nam .
4496,rotten tomatoes will not be lenient with fake comments disparaging 'black panther'.,rotten tomatoes sẽ không nương_tay với các bình_luận giả_mạo chê_bai ' black panther ' .
4497,temporarily seized more than 10 tons of egg noodles using borax and chemicals to toughen noodles.,tạm giữ hơn 10 tấn mì trứng dùng hàn_the và hóa_chất làm dai sợi mì .
4498,can tho discusses how to retain tourists.,cần_thơ bàn cách níu chân du_khách du_lịch .
4499,"planting honey, busy selling near tet.","trồng mật cật , tất_bật bán dịp gần tết ."
4500,kpop fans were outraged when phuc bo - ha le continued to 'plagiarize' another song of winner mino.,fan kpop phẫn_nộ khi phúc bồ - hà lê tiếp_tục '_đạo nhạc ' một bài hát khác của winner mino .
4501,neighbors played a rare game: shoveling and stealing land,hàng_xóm giở_trò hy_hữu : xúc trộm đất nền nhà .
4502,evil must be punished,cái ác phải bị trừng_trị .
4503,"growing rice is not dirty hands and feet, no worries about consumption because the cooperative 'covers' everything.","trồng lúa không bẩn tay_chân , không lo tiêu_thụ vì htx ' bao ' hết ."
4504,a person in vinh long won vietlott nearly 6 billion vnd.,một người ở vĩnh_long trúng vietlott gần 6_tỉ đồng .
4505,discovered 3 trucks full of goods without receipts.,phát_hiện 3 xe_tải chở đầy hàng_hóa không hóa_đơn chứng_từ .
4506,long an: understand that students strictly abide by the law on internet use.,long an : quán_triệt học_sinh chấp_hành nghiêm quy_định của pháp_luật về sử_dụng internet .
4507,"buying kim sa dress for tet, women thought ""chicken feathers meet boiling water"".","mua váy kim_sa về diện tết , chị_em tưởng ' lông gà gặp nước sôi ' ."
4508,tay do people exploded with the 'unbelievable' victory of u23 vietnam.,dân tây_đô bùng_nổ với chiến_thắng ' không tưởng ' của u23 việt nam .
4509,cambodia will severely punish those who offend the king.,campuchia sẽ xử_phạt nghiêm những người xúc_phạm quốc_vương .
4510,"the times of editing, deleting, and re-writing the whole status line of vietnamese stars.","những lần chỉnh sửa , xóa đi viết lại đến ' nát ' cả dòng status của sao việt ."
4511,cambodia passed a law to prosecute those who insult the king.,campuchia thông_qua luật khởi_tố các đối_tượng xúc_phạm quốc_vương .
4512,police investigate the case that the driver snatched the employee's phone at bot t2 station.,công_an điều_tra vụ tài_xế giật điện_thoại nhân_viên trạm bot t2 .
4513,"many american newspapers reported that ""teacher"" daniel hauer made rude comments about general vo nguyen giap.",nhiều báo mỹ đưa tin sự_kiện ' thầy_giáo ' daniel hauer bình_luận khiếm_nhã về đại_tướng võ nguyên giáp .
4514,investigate the driver's motive for taking the phone of the staff of the bot t2 station.,điều_tra động_cơ tài_xế chiếm_giữ điện_thoại nhân_viên trạm bot t2 .
4515,a driver was invited by the ca to clarify the act of snatching the toll station employee's phone.,một lái_xe bị ca mời làm rõ hành_vi giật điện_thoại nhân_viên trạm thu phí .
4516,"being stopped for inspection, the young man attacked the police and broke the alcohol meter.","bị dừng xe kiểm_tra , thanh_niên tấn_công cảnh_sát , đập_vỡ máy đo nồng_độ cồn ."
4517,vietnamese fans flocked to the streets to celebrate the historic victory.,cđv việt nam ồ_ạt ra đường ăn_mừng chiến_tích lịch_sử .
4518,cambodia proposed to remove the position of minister of state from the government.,campuchia đề_nghị đưa chức_vụ quốc_vụ_khanh bộ ngành ra khỏi chính_phủ .
4519,tons of food of unknown origin were confiscated and destroyed.,"hàng tấn thực_phẩm không rõ xuất_xứ bị tịch_thu , tiêu_hủy ."
4520,"unlucky to buy a fake dress, 9x was also scolded by the shop owner.","đen_đủi mua phải váy rởm , 9 x còn bị chủ_shop mắng tới_tấp ."
4521,raising pheasants gives an income of over 300 million vnd per year.,nuôi chim trĩ cho thu_nhập trên 300 triệu đồng mỗi năm .
4522,google hits $100 billion in revenue.,google cán mốc 100 tỷ usd doanh_thu .
4523,employment service center of can tho city: bridge jobs for workers.,trung_tâm dịch_vụ việc làm tp . cần_thơ : cầu_nối việc_làm cho người lao_động .
4524,"the young man jerked the engine due to the alcohol content, and broke the driver's glass.","nam thanh_niên giật máy do nồng_độ cồn , ném vỡ kính xế hộp ."
4525,food testing capacity is limited.,năng_lực kiểm_nghiệm thực_phẩm còn hạn_chế .
4526,apple removes 'world's hottest' messaging app from app store.,apple xóa ứng_dụng nhắn_tin ' hot nhất thế_giới ' khỏi app store .
4527,"destroyed more than 1.7 tons of salmon heads, chicken thighs... of unknown origin.","tiêu_hủy hơn 1,7 tấn đầu cá_hồi , đùi gà ... không rõ xuất_xứ ."
4528,ly tieu lo suddenly sued the person who spread the news of adultery.,lý tiểu lộ bất_ngờ khởi_kiện người tung tin ngoại_tình .
4529,encourage people to do clean agriculture.,khuyến_khích mọi người làm nông_nghiệp sạch .
4530,model who solicited online porn was arrested.,người_mẫu mời gọi khiêu_dâm trên mạng bị bắt_giữ .
4531,temporarily seized 17 boxes of components and imported goods of unknown origin.,"tạm giữ 17 thùng linh_kiện , hàng_hóa ngoại_nhập không rõ nguồn_gốc ."
4532,starting a business from making wooden pots.,khởi_nghiệp từ làm chậu cây bằng gỗ .
4533,"india: the groom checks the bride's virginity, the village council waits outside.","ấn độ : chú_rể kiểm_tra trinh_tiết cô_dâu , hội_đồng làng ngồi ngoài chờ ."
4534,pheasant sucking goods.,chim trĩ hút hàng .
4535,shocked with the service of printing his wife's picture on... the cutting board.,sốc với dịch_vụ in_hình vợ lên ... mặt_thớt .
4536,"insulting donald trump, maradona ended the american dream.","xúc_phạm donald trump , maradona kết_thúc giấc mơ mỹ ."
4537,jealous of the 9x couple's journey around vietnam together.,ghen tỵ hành_trình cùng nhau đi khắp việt nam của cặp_đôi 9 x .
4538,actor hoai an acted in comedy for the first time because he was afraid to have his tear glands removed.,diễn_viên hoài an lần đầu đóng hài vì sợ phải cắt bỏ tuyến_lệ .
4539,central hk port authority is supported with 6.6 million electricity bills.,"cảng_vụ hk miền trung được hỗ_trợ 6,6 triệu tiền điện ."
4540,quang nam licensed to exploit a series of gold mines.,quảng nam cấp phép khai_thác hàng_loạt hầm vàng .
4541,"more than 23,600 security cameras cover da nang.",hơn 23.600 camera an_ninh phủ khắp đà nẵng .
4542,'bilal: desert warrior': the epic epic of arabia.,' bilal : chiến_binh sa_mạc ' : bản hùng_ca bi_tráng của xứ ả rập .
4543,"the author of ""the sorrow of the phoenix flower"" earns the second highest royalties after musician trinh cong son.",tác_giả ' nỗi buồn hoa phượng ' thu tiền tác_quyền cao thứ 2 sau nhạc_sĩ trịnh công_sơn .
4544,suspected commune leaders and accountants 'coordinated' to extract state budget.,nghi_vấn lãnh_đạo xã và kế_toán ' phối_hợp ' bòn_rút ngân_sách nhà_nước .
4545,da nang invests more buses to limit personal cars.,đà nẵng đầu_tư thêm xe_buýt để hạn_chế xe cá_nhân .
4546,"actor hoai an bought a new car after crying because of ""break up"" with an old car.",diễn_viên hoài an tậu xế hộp mới sau màn rơi_lệ vì ' chia_tay ' xe cũ .
4547,the time users spend on facebook continues to decrease.,thời_gian người dùng dành cho facebook tiếp_tục giảm .
4548,the girl was sued for booking a 120 million birthday party without paying.,cô gái bị kiện vì đặt tiệc sinh_nhật 120 triệu không có tiền trả .
4549,"'mansiong, 'night walk' and transparency.","' biệt phủ ' , ' đi đêm_' và sự minh_bạch ."
4550,"the ""tech guy"" went through 3 love affairs.",chàng trai ' dân công_nghệ_' trải qua 3 mối tình .
4551,drunk yeast and water.,men say và vận nước .
4552,maou ordered a party of 120 million and then ran to the village because only 5 people attended.,mạo tiểu_thư đặt tiệc 120 triệu rồi chạy_làng vì chỉ có 5 người đến dự .
4553,da nang: tighten civil servants to work on tet holiday.,đà nẵng : siết công_chức viên_chức làm_việc dịp tết .
4554,russian mafia - the fearsome 'octopus king' of the underworld.,mafia nga - ' bạch_tuộc chúa_' đáng sợ của thế_giới ngầm .
4555,da nang: no reception at the office during tet.,đà nẵng : không tổ_chức tiếp khách ở cơ_quan dịp tết .
4556,"the girl was accused of 'virtual living' pretending to be rich, ordering a grand birthday party of 120 million dong and then 'booming' money.","cô gái bị tố ' sống ảo ' làm_ra_vẻ giàu_có , đặt tiệc sinh_nhật hoành_tráng 120 triệu đồng rồi ' bùng ' tiền ."
4557,the year-end bonus the boss gives his wife makes me dumbfounded.,phần_thưởng cuối năm sếp dành cho vợ khiến tôi chết lặng .
4558,the girl who booked a birthday party of 120 million vnd did not have to pay.,cô gái đặt tiệc sinh_nhật 120 triệu đồng không có tiền trả .
4559,the girl is allergic to the cold: must always be in a 'hibernationg state.,cô gái dị_ứng với trời lạnh : phải luôn ở trạng_thái ' ngủ đông ' .
4560,the emotions buried in the heart of the female character of nguyen khac ngan vi.,xúc_cảm chôn giấu trong cõi_lòng nhân_vật nữ của nguyễn_khắc ngân_vi .
4561,"proposal to recall more than 6,000 billion pham cong danh cases: another perspective.",kiến_nghị thu_hồi hơn 6.000 tỷ vụ phạm công_danh : góc nhìn khác .
4562,"about to receive the tet bonus, her husband hurriedly told her to take care of her mother.","sắp nhận thưởng tết , chồng rục_rịch bảo đưa mẹ giữ hộ ."
4563,da nang fireworks at 3 points on new year's eve.,đà nẵng bắn pháo_hoa tại 3 điểm đêm giao_thừa .
4564,mr. dam shed tears on the hot seat 'excellent duet - golden couple'.,mr đàm rơi nước_mắt trên ghế nóng ' tuyệt_đỉnh song_ca - cặp đôi vàng ' .
4565,many chinese imports with 0% tax: where is the miracle?.,nhiều hàng nhập trung_quốc thuế 0 % : đâu là phép màu ? .
4566,duy phuong's son: 'my father is like now because he has a huge gambling debt'.,con trai duy phương : ' ba bị như bây_giờ là do dính một cú nợ cờ_bạc quá lớn ' .
4567,banks foreclosure of soes: worrying loopholes....,ngân_hàng xiết nợ dnnn : những kẽ hở đáng lo_ngại ....
4568,divers diving to find missing people in the canal.,người nhái lặn tìm người mất_tích dưới kênh .
4569,mr dam constantly wipes his tears on the hot seat golden couple.,mr đàm liên_tục lau nước_mắt trên ghế nóng cặp đôi vàng .
4570,chemically marinated chicken feet: unpredictable danger to consumers' health.,chân gà tẩm ướp hóa_chất : mối nguy khó lường cho sức_khỏe của người tiêu_dùng .
4571,"ordered a birthday party of 120 million, 5 people attended, the young girl intended to ""run the village"" because she did not have money.","đặt tiệc sinh_nhật 120 triệu , 5 người đến dự , cô gái trẻ định_' chạy_làng ' vì không có tiền ."
4572,the gods have been recorded by history books about eating and drinking.,những công_thần từng bị sử_sách ghi lại chuyện ăn của_đút .
4573,"beautiful girl ca mau booked a birthday party of 120 million, no money to pay because only 5 people attended.","gái xinh cà_mau đặt tiệc sinh_nhật 120 triệu , không có tiền trả vì chỉ 5 người đến dự ."
4574,duy phuong's son revealed for the first time the reason why his father lost his luck and struggled to make a living at the age of u70.,"con trai duy phương lần đầu hé lộ lý_do bố sa_cơ_lỡ_vận , chật_vật mưu_sinh ở tuổi u70 ."
4575,"the beauties ""beautiful husband, wise children"" still have adultery.","những mỹ_nhân ' chồng đẹp , con khôn ' vẫn ngoại_tình ."
4576,"tet jam at the market, many products do not have labels.","mứt tết ở chợ , nhiều sản_phẩm không có nhãn_mác ."
4577,hands reveal a womangs true age.,bàn_tay tiết_lộ tuổi_thật của phụ_nữ .
4578,traffic newspaper gives gifts to disadvantaged students in ho chi minh city.,báo giao_thông trao quà cho học_sinh khó_khăn tại tp.hcm .
4579,the infamous president of haiti.,vị tổng_thống tai_tiếng của haiti .
4580,"drinking water the wrong way, beware of poisoning.","uống nước sai cách , coi_chừng ngộ_độc ."
4581,responsibilities of the employer towards the employee.,trách_nhiệm của người sử_dụng lao_động đối_với nlđ .
4582,saudi arabia: arrests 11 princes who protest against cutting electricity subsidies.,ả rập xê út : bắt 11 hoàng_tử phản_đối việc cắt_giảm trợ_cấp tiền điện .
4583,hanoi has a street sign named after hero duong van be.,hà nội gắn biển phố mang tên anh_hùng dương văn bé .
4584,the japanese cheer for vietnam u-23.,người nhật cổ_vũ cho u-23 việt nam .
4585,ben tre: arresting a particularly dangerous wanted person.,bến tre : bắt đối_tượng truy_nã đặc_biệt nguy_hiểm .
4586,"parents-in-law asked how much tet bonus, should they tell the truth?",bố_mẹ chồng hỏi thưởng tết bao_nhiêu tiền có nên khai thật ? .
4587,"where to go to changzhou, what to eat while waiting for the ""historic battle"" of u23 vietnam.","đến thường châu đi đâu , ăn gì trong lúc chờ_đợi ' trận chiến lịch_sử ' của u23 việt nam ."
4588,a bowl of porridge warms the heart of a poor patient.,bát cháo ấm lòng bệnh_nhân nghèo .
4589,"the sky net is full, vu 'aluminum' escaping cannot escape.","lưới trời lồng_lộng , vũ_' nhôm ' đào_tẩu cũng không thoát ."
4590,looking for a young man with a tattoo on his back.,truy_nã thanh_niên có hình xăm sau lưng .
4591,"beautiful boys wearing wedding dresses, jubilantly dancing after the historic victory.","dàn trai đẹp mặc váy cưới , nhảy_múa tưng_bừng sau chiến_thắng lịch_sử ."
4592,what to do when the 3rd person is the husband's ex-wife?.,phải làm gì khi người thứ 3 là vợ cũ của chồng ? .
4593,"'located locusts' jam tet, prices 'heaven and earth'.","' loạn cào_cào ' mứt tết , giá_cả ' trên trời dưới đất ' ."
4594,"average income 2,400 usd/person: what are you proud of the most?",thu_nhập bình_quân 2.400 usd / người : còn tự_hào những cái nhất ? .
4595,"teacher's tet bonus: 30 million place, 50,000 place.","thưởng tết giáo_viên : nơi 30_triệu , chỗ 50 nghìn ."
4596,"taylor swift's music night will be empty because of ""making money"" fans?.",đêm nhạc của taylor swift sẽ ế chỏng_gọng vì ' làm tiền ' fan ? .
4597,the killer burst into tears begging for forgiveness.,kẻ giết người bật khóc cầu_xin được tha_thứ .
4598,"average income 2,400 usd/person: sad is right.",thu_nhập bình_quân 2.400 usd / người : buồn là đúng .
4599,"from playing cards to fighting, people die and go to jail.","từ đánh bài đến đánh nhau , người chết kẻ đi tù ."
4600,banks foreclose on debts of soes: worry about one pocket getting into the other.,ngân_hàng xiết nợ dnnn : lo túi này lọt túi kia .
4601,january 1 morning transfer: real sucks blood wouldemong barca was 'extracted'.,chuyển_nhượng sáng 1/1 : real hút máu ' quỷ ' barca bị ' bòn_rút ' .
4602,"beating people to death for 200,000 vnd, the leader was imprisoned for 14 years.","đánh chết người vì 200.000 đồng , hung_thủ_lĩnh 14 năm tù ."
4603,"thanh truc together with many artists ""stirred"" to celebrate the opening of thai chi hung's restaurant.",thanh trúc cùng nhiều nghệ_sĩ ' quậy ' tưng mừng khai_trương nhà_hàng của thái chí hùng .
4604,"'locusts disorder' tet jam, prices on 'heaven and earth'.","' loạn cào_cào ' mứt tết , giá_cả trên ' trời dưới đất ' ."
4605,the people are the reason for life and the purpose of the state.,"dân là lẽ sống , là mục_đích của nhà_nước ."
4606,chinese enterprises apply for golf courses: 'i have not heard'.,doanh_nghiệp trung_quốc xin làm sân golf : ' tôi chưa nghe ' .
4607,market goods into 'home-made' food.,hàng_chợ thành_thực_phẩm ' nhà làm ' .
4608,truong giang shows off the trick of 'crying for hire' to make money from hoai linh.,trường_giang khoe tuyệt_chiêu ' khóc_mướn ' kiếm tiền từ hoài linh .
4609,thanh truc devoted himself to the opening party of bien duong restaurant 6.,thanh trúc hết_mình trong tiệc khai_trương nhà_hàng biển dương 6 .
4610,warm comradeship in chau thanh.,ấm_áp nghĩa_tình đồng_chí ở châu_thành .
4611,"crying for talent, thanh hang continued to win the trophy at thank god.","khóc_mướn tài_tình , thanh hằng tiếp_tục giành cúp ở ơn giời ."
4612,here you are,cậu đây rồi .
4613,vibrant tet decorations.,rộn_ràng đồ trang_trí tết .
4614,artists celebrate the opening of bien duong 6 restaurant in ho chi minh city.,dàn nghệ_sĩ mừng khai_trương nhà_hàng biển dương 6 tại tp.hcm .
4615,truong giang repeatedly reminded thanh hang of abusing cai luong singing.,trường_giang nhiều lần nhắc_nhở thanh hằng vì lạm_dụng hát_cải_lương .
4616,leaders of ho chi minh city visit families of individuals who participated in the 1968 general offensive and uprising.,lãnh_đạo tphcm thăm gia_đình các cá_nhân tham_gia tổng_tiến_công và nổi dậy xuân mậu thân 1968 .
4617,the subject 'memorizing' the student's moment: philosophy.,môn_học ' gây thương_nhớ ' nhất_thời sinh_viên : triết_học .
4618,prevent dirty food from entering the market.,ngăn_chặn thực_phẩm bẩn vào thị_trường .
4619,truong giang forced thanh hang to cry for money to ask for money from hoai linh.,trường_giang bắt thanh hằng đi khóc_mướn để đòi tiền hoài linh .
4620,da nang continues to discipline many officials.,đà nẵng tiếp_tục kỷ_luật nhiều cán_bộ .
4621,minh luangs old love wore a simple outfit to the event.,tình cũ của minh luân mặc đơn_giản đi sự_kiện .
4622,honoring 57 outstanding party members.,tuyên_dương 57 đảng_viên tiêu_biểu .
4623,do not rush to chuckle.,quan tham chớ vội cười_thầm .
4624,da nang continues to discipline 4 leaders and managers.,"đà nẵng tiếp_tục kỷ_luật 4 cán_bộ lãnh_đạo , quản_lý ."
4625,hoai an and thanh truc went on stage to sing jubilantly to celebrate thai chi hung.,"hoài an , thanh trúc lên sân_khấu hát hò tưng_bừng mừng thái chí hùng ."
4626,chairwoman of the people's council of ho chi minh city nguyen thi quyet tam visited and presented tet gifts to poor tay ninh people.,"chủ_tịch hđnd tphcm nguyễn_thị quyết_tâm thăm , tặng quà tết đồng_bào nghèo tây_ninh ."
4627,talkshow 'hiddeng touches many dark corners of fate.,talkshow ' người giấu mặt ' chạm đến nhiều góc tối số_phận .
4628,"saying goodbye to the aretired' pixel c tablet, google decided to put all its efforts into the pixelbook.","tiễn tablet pixel c ' về hưu ' , google quyết dồn toàn_lực cho pixelbook ."
